File accession 	File format    	File type 	File format type 	Output type                        	File assembly 	Experiment accession 	Assay       	Donor(s)                   	Biosample term id 	Biosample term name 	Biosample type 	Biosample organism 	Biosample treatments 	Biosample treatments amount 	Biosample treatments duration 	Biosample genetic modifications methods 	Biosample genetic modifications categories 	Biosample genetic modifications targets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Biosample genetic modifications gene targets 	Biosample genetic modifications site coordinates 	Biosample genetic modifications zygosity 	Experiment target     	Library made from 	Library depleted in 	Library extraction method 	Library lysis method 	Library crosslinking method 	Library strand specific 	Experiment date released 	Project 	RBNS protein concentration 	Library fragmentation method 	Library size range 	Biological replicate(s) 	Technical replicate(s) 	Read length 	Mapped read length 	Run type 	Paired end 	Paired with 	Index of 	Derived from                                                                                                                                      	Size    	Lab                        	md5sum                           	dbxrefs 	File download URL                                                             	Genome annotation 	Platform 	Controlled by 	File Status 	s3_uri                                                                                	Azure URL                                                                                                                                                                                            	File analysis title   	File analysis status 	Audit WARNING                                                                                                                                  	Audit NOT_COMPLIANT     	Audit ERROR
ENCFF880BEK    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR691IQB          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	CRISPR                                  	insertion                                  	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/57659/'], '@type': ['Target', 'Item'], 'name': 'ZBTB4-human', 'label': 'ZBTB4', '@id': '/targets/ZBTB4-human/', 'title': 'ZBTB4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '28d0833e-e67a-4519-b4cb-9ecaf09ca243', 'status': 'released'}                                               	                                             	                                                 	                                         	ZBTB4-human           	DNA               	                    	                          	                     	formaldehyde                	                        	2022-01-20               	ENCODE  	                           	                             	450-650            	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF434VSQ/, /files/ENCFF179VXV/, /files/ENCFF356LFX/, /files/ENCFF882LVZ/                                                                	  37615 	ENCODE Processing Pipeline 	2e1f61bb2faf1cc626bd648f8fb0d470 	        	https://www.encodeproject.org/files/ENCFF880BEK/@@download/ENCFF880BEK.bed.gz 	                  	         	              	released    	s3://encode-public/2020/05/14/06b01441-c542-4861-bddc-4f53b9ea57fe/ENCFF880BEK.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2020/05/14/06b01441-c542-4861-bddc-4f53b9ea57fe/ENCFF880BEK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.4.0 GRCh38 	released             	mild to moderate bottlenecking, moderate library complexity                                                                                    	                        	
ENCFF157HQD    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR748SQL          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	CRISPR                                  	insertion                                  	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1112'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/63977/'], '@type': ['Target', 'Item'], 'name': 'PRDM15-human', 'label': 'PRDM15', '@id': '/targets/PRDM15-human/', 'title': 'PRDM15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f055571b-35dc-42c2-b04f-7f0429bba36e', 'status': 'released'}                   	                                             	                                                 	                                         	PRDM15-human          	DNA               	                    	                          	                     	formaldehyde                	                        	2020-08-03               	ENCODE  	                           	                             	450-650            	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF814BPN/, /files/ENCFF669ARL/, /files/ENCFF356LFX/, /files/ENCFF516IBY/                                                                	  34823 	ENCODE Processing Pipeline 	92eb8ccfa601c06d7d99b42e8547d60d 	        	https://www.encodeproject.org/files/ENCFF157HQD/@@download/ENCFF157HQD.bed.gz 	                  	         	              	released    	s3://encode-public/2020/05/14/b78609f3-50dc-4872-9dc1-898b46373ec7/ENCFF157HQD.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2020/05/14/b78609f3-50dc-4872-9dc1-898b46373ec7/ENCFF157HQD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.4.0 GRCh38 	released             	mild to moderate bottlenecking, moderate library complexity                                                                                    	                        	
ENCFF185BRL    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000BJZ          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	BCLAF1-human          	DNA               	                    	                          	                     	                            	                        	2011-07-18               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF874YBK/, /files/ENCFF519KIS/, /files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF356LFX/, /files/ENCFF554UVL/, /files/ENCFF408WPU/ 	 373233 	ENCODE Processing Pipeline 	3367c349f280ca1026e912ef32afc53b 	        	https://www.encodeproject.org/files/ENCFF185BRL/@@download/ENCFF185BRL.bed.gz 	                  	         	              	released    	s3://encode-public/2021/01/06/7c31bcd5-edcd-4ef8-b59b-151f84a24009/ENCFF185BRL.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2021/01/06/7c31bcd5-edcd-4ef8-b59b-151f84a24009/ENCFF185BRL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read length                                                                                                                                	                        	
ENCFF068YYR    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000BGZ          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	TCF12-human           	DNA               	                    	                          	                     	                            	                        	2011-07-18               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF356LFX/, /files/ENCFF519KIS/, /files/ENCFF075XYL/, /files/ENCFF230UAD/, /files/ENCFF361TMF/, /files/ENCFF882OBA/                      	 425740 	ENCODE Processing Pipeline 	341da336fa69b2964c41458250111dbd 	        	https://www.encodeproject.org/files/ENCFF068YYR/@@download/ENCFF068YYR.bed.gz 	                  	         	              	released    	s3://encode-public/2020/12/26/334de9b7-eaca-41ed-b2e2-21f96950b829/ENCFF068YYR.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/334de9b7-eaca-41ed-b2e2-21f96950b829/ENCFF068YYR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, low read length, mild to moderate bottlenecking                                                                                	                        	
ENCFF164MPE    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000DZB          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	ELK1-human            	DNA               	                    	                          	                     	                            	                        	2012-05-14               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF683ICJ/, /files/ENCFF356LFX/, /files/ENCFF863XTX/, /files/ENCFF042LWY/, /files/ENCFF536CQB/, /files/ENCFF553HGU/, /files/ENCFF278NPZ/ 	 134754 	ENCODE Processing Pipeline 	47257cc399b9e2aadc6f385b6dcd6caa 	        	https://www.encodeproject.org/files/ENCFF164MPE/@@download/ENCFF164MPE.bed.gz 	                  	         	              	released    	s3://encode-public/2021/01/08/cb478cb0-89d8-41de-8edd-08bd216c6d66/ENCFF164MPE.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2021/01/08/cb478cb0-89d8-41de-8edd-08bd216c6d66/ENCFF164MPE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, improper control_type of control experiment, low read length                                                                   	                        	
ENCFF744QAC    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000DYY          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	E2F4-human            	DNA               	                    	                          	                     	                            	                        	2012-05-14               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF182QPN/, /files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF356LFX/, /files/ENCFF863XTX/, /files/ENCFF053HZD/, /files/ENCFF042LWY/ 	  82772 	ENCODE Processing Pipeline 	118bb00dbbce25b22bdb4881167bce4d 	        	https://www.encodeproject.org/files/ENCFF744QAC/@@download/ENCFF744QAC.bed.gz 	                  	         	              	released    	s3://encode-public/2021/01/08/30e580d8-8ffb-449d-8249-daf783ae09a6/ENCFF744QAC.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2021/01/08/30e580d8-8ffb-449d-8249-daf783ae09a6/ENCFF744QAC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, improper control_type of control experiment, low read length                                                                   	                        	
ENCFF895MHN    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000BGU          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	EBF1-human            	DNA               	                    	                          	                     	                            	                        	2011-07-18               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF650TOW/, /files/ENCFF519KIS/, /files/ENCFF679DWX/, /files/ENCFF356LFX/                      	 744477 	ENCODE Processing Pipeline 	62c5cdd498d2027d029b847f0ab2241a 	        	https://www.encodeproject.org/files/ENCFF895MHN/@@download/ENCFF895MHN.bed.gz 	                  	         	              	released    	s3://encode-public/2020/12/12/4cbad5c1-c53a-4484-aeb7-75ae90addb79/ENCFF895MHN.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/4cbad5c1-c53a-4484-aeb7-75ae90addb79/ENCFF895MHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, low read length                                                                                                                	                        	
ENCFF262MRD    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000BQS          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	REST-human            	DNA               	                    	                          	                     	                            	                        	2012-02-29               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF519KIS/, /files/ENCFF019QRI/, /files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF213EBE/, /files/ENCFF356LFX/, /files/ENCFF887ZNY/ 	 113770 	ENCODE Processing Pipeline 	65617da324c39e7e0845e9f0236d9f8d 	        	https://www.encodeproject.org/files/ENCFF262MRD/@@download/ENCFF262MRD.bed.gz 	                  	         	              	released    	s3://encode-public/2021/01/06/288a7f52-3b75-4ec7-8667-d5ab9a557eae/ENCFF262MRD.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2021/01/06/288a7f52-3b75-4ec7-8667-d5ab9a557eae/ENCFF262MRD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, low read length, mild to moderate bottlenecking                                                                                	                        	
ENCFF549GKZ    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000BRU          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	FOXM1-human           	DNA               	                    	                          	                     	                            	                        	2012-02-29               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF305BPN/, /files/ENCFF356LFX/, /files/ENCFF036UGG/, /files/ENCFF691UEA/, /files/ENCFF339NUH/, /files/ENCFF557JOT/                      	 410735 	ENCODE Processing Pipeline 	3c5a9a4cce0a00136771bbbedc9068ce 	        	https://www.encodeproject.org/files/ENCFF549GKZ/@@download/ENCFF549GKZ.bed.gz 	                  	         	              	released    	s3://encode-public/2020/12/27/e0c05f1d-1ba5-42a0-af0d-e9e017c9505c/ENCFF549GKZ.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/e0c05f1d-1ba5-42a0-af0d-e9e017c9505c/ENCFF549GKZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read length, low read depth, inconsistent platforms, moderate library complexity, mild to moderate bottlenecking                           	                        	
ENCFF753HYW    	bed narrowPeak 	bed       	narrowPeak       	IDR thresholded peaks              	GRCh38        	ENCSR000DZE          	TF ChIP-seq 	/human-donors/ENCDO000AAK/ 	EFO:0002784       	GM12878             	cell line      	Homo sapiens       	                     	                            	                              	                                        	                                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                                             	                                                 	                                         	CHD1-human            	DNA               	                    	                          	                     	                            	                        	2012-05-14               	ENCODE  	                           	see document                 	                   	1, 2                    	1_1, 2_1               	            	                   	         	           	            	         	/files/ENCFF683ICJ/, /files/ENCFF772CEE/, /files/ENCFF042LWY/, /files/ENCFF863XTX/, /files/ENCFF356LFX/, /files/ENCFF278NPZ/, /files/ENCFF875MYH/ 	 110499 	ENCODE Processing Pipeline 	5adc0e6ab95b84d194f0d5a4dbe97204 	        	https://www.encodeproject.org/files/ENCFF753HYW/@@download/ENCFF753HYW.bed.gz 	                  	         	              	released    	s3://encode-public/2021/01/08/b4473ce2-5d43-455a-bf8a-d3c12ff66244/ENCFF753HYW.bed.gz 	https://datasetencode.blob.core.windows.net/dataset/2021/01/08/b4473ce2-5d43-455a-bf8a-d3c12ff66244/ENCFF753HYW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D 	ENCODE4 v1.6.1 GRCh38 	released             	low read depth, improper control_type of control experiment, low read length                                                                   	                        	
